Constituent Specific Attributes Initiation Date Description
"5/22/1909"
"5/22/1909"
"5/22/1909"
"5/22/1909"
"5/22/1909"
"5/22/1909"
"5/22/1909"
"5/22/1909"
"5/22/1909"
"2/9/1910"
"2/9/1910"
"2/16/1910"
"5/21/1910"
"5/21/1910"
"10/18/1910"
"10/18/1910"
"1/12/1911"
"2/8/1912"
"3/7/1912"
"3/17/1912"
"2/15/1913"
"2/15/1913"
"3/15/1913"
"3/15/1913"
"5/26/1913"
"11/21/1913"
"11/21/1913"
"2/6/1914"
"3/26/1915"
"2/14/1916"
"2/16/1916"
"4/2/1916"
"2/17/1917"
"10/26/1917"
"10/26/1917"
"10/26/1917"
"11/3/1917"
"11/3/1917"
"11/9/1917"
"3/16/1918"
"3/13/1919"
"3/13/1919"
"3/13/1919"
"2/2/1920"
"2/2/1920"
"2/2/1920"
"3/8/1920"
"5/31/1920"
"6/9/1920"
"10/27/1920"
"1/29/1921"
"11/1/1921"
"11/15/1921"
"1/30/1922"
"1/30/1922"
"4/4/1922"
"2/23/1923"
"2/23/1923"
"2/1/1924"
"2/1/1924"
"2/1/1924"
"1/30/1925"
"1/30/1925"
"1/30/1925"
"1/30/1925"
"1/29/1926"
"1/29/1926"
"1/29/1926"
"1/29/1926"
"1/29/1926"
"1/28/1927"
"1/27/1928"
"1/27/1928"
"2/6/1929"
"2/6/1929"
"6/11/1929"
"11/26/1929"
"11/26/1929"
"11/26/1929"
"3/22/1930"
"3/22/1930"
"3/22/1930"
"3/6/1931"
"3/6/1931"
"3/6/1931"
"3/6/1931"
"3/6/1931"
"3/6/1931"
"3/6/1931"
"3/6/1931"
"3/6/1931"
"3/4/1932"
"3/4/1932"
"3/4/1932"
"3/4/1932"
"3/4/1932"
"3/4/1932"
"3/10/1933"
"3/10/1933"
"3/10/1933"
"12/14/1933"
"12/14/1933"
"12/14/1933"
"4/20/1934"
"4/20/1934"
"4/20/1934"
"11/22/1934"
"11/22/1934"
"1/8/1935"
"5/20/1935"
"12/19/1935"
"12/19/1935"
"12/19/1935"
"5/28/1936"
"5/28/1936"
"7/31/1984"
"10/6/1984"
"10/6/1984"
"10/6/1984"
"10/6/1984"
"10/6/1984"
"10/6/1984"
"10/6/1984"
"10/6/1984"
"10/6/1984"
"4/13/1985"
"4/13/1985"
"4/13/1985"
"4/13/1985"
"4/13/1985"
"4/13/1985"
"4/13/1985"
"4/13/1985"
"4/13/1985"
"4/13/1985"
"4/13/1985"
"10/26/1985"
"10/26/1985"
"10/26/1985"
"10/26/1985"
"10/26/1985"
"10/26/1985"
"10/26/1985"
"10/26/1985"
"10/26/1985"
"3/21/1986"
"3/21/1986"
"3/21/1986"
"3/21/1986"
"3/21/1986"
"3/21/1986"
"3/21/1986"
"3/21/1986"
"3/21/1986"
"3/21/1986"
"12/5/1986"
"12/5/1986"
"12/5/1986"
"12/5/1986"
"12/5/1986"
"12/5/1986"
"12/5/1986"
"12/5/1986"
"12/5/1986"
"12/5/1986"
"12/5/1986"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/8/1988"
"1/13/1989"
"1/13/1989"
"1/13/1989"
"1/13/1989"
"1/13/1989"
"1/13/1989"
"1/13/1989"
"1/13/1989"
"1/13/1989"
"1/13/1989"
"1/13/1989"
"5/13/1989"
"5/13/1989"
"5/13/1989"
"5/13/1989"
"5/13/1989"
"5/13/1989"
"5/13/1989"
"5/13/1989"
"5/13/1989"
"5/13/1989"
"5/13/1989"
"12/1/1989"
"12/1/1989"
"12/1/1989"
"12/1/1989"
"12/1/1989"
"12/1/1989"
"12/1/1989"
"12/1/1989"
"3/16/1990"
"3/16/1990"
"3/16/1990"
"11/30/1990"
"11/30/1990"
"11/30/1990"
"11/30/1990"
"11/30/1990"
"11/30/1990"
"11/30/1990"
"11/30/1990"
"11/30/1990"
"11/30/1990"
"4/27/1991"
"4/27/1991"
"4/27/1991"
"4/27/1991"
"4/27/1991"
"4/27/1991"
"4/27/1991"
"4/27/1991"
"12/6/1991"
"12/6/1991"
"12/6/1991"
"12/6/1991"
"12/6/1991"
"4/25/1992"
"4/25/1992"
"4/25/1992"
"4/25/1992"
"12/5/1992"
"12/5/1992"
"12/5/1992"
"12/5/1992"
"12/5/1992"
"5/14/1993"
"5/14/1993"
"5/14/1993"
"5/14/1993"
"5/14/1993"
"1/8/1994"
"1/8/1994"
"1/8/1994"
"1/8/1994"
"1/8/1994"
"5/13/1994"
"5/13/1994"
"5/13/1994"
"5/13/1994"
"5/13/1994"
"1/7/1995"
"1/7/1995"
"5/13/1995"
"5/13/1995"
"5/13/1995"
"5/13/1995"
"5/13/1995"
"5/13/1995"
"5/13/1995"
"12/9/1995"
"12/9/1995"
"12/9/1995"
"12/9/1995"
"4/28/1996"
"4/28/1996"
"4/28/1996"
"4/28/1996"
"4/28/1996"
"4/28/1996"
"4/28/1996"
"4/28/1996"
"4/28/1996"
"12/13/1996"
"12/13/1996"
"12/13/1996"
"12/13/1996"
"12/13/1996"
"12/13/1996"
"12/13/1996"
"12/13/1996"
"12/13/1996"
"12/13/1996"
"5/10/1997"
"5/10/1997"
"5/10/1997"
"5/10/1997"
"5/10/1997"
"5/10/1997"
"5/10/1997"
"5/10/1997"
"5/10/1997"
"5/10/1997"
"12/6/1997"
"12/6/1997"
"12/6/1997"
"12/6/1997"
"4/25/1998"
"4/25/1998"
"4/25/1998"
"4/25/1998"
"4/25/1998"
"4/25/1998"
"4/25/1998"
"4/25/1998"
"4/25/1998"
"4/25/1998"
"4/25/1998"
"4/25/1998"
"12/12/1998"
"12/12/1998"
"12/12/1998"
"12/12/1998"
"12/12/1998"
"12/12/1998"
"12/12/1998"
"12/12/1998"
"12/12/1998"
"12/12/1998"
"12/12/1998"
